experiment_phase,condition_id,replicate,condition_order,matrix_seed,run_tag,run_id,mode,requested_algorithm,selected_algorithms,load,network_load_pct,state_cpu_pct,state_memory_pct,publisher_start_spread_ms,max_publisher_start_lateness_ms,devices,messages_per_device,payload_bytes,messages_expected,messages_received,message_loss_pct,authentication_failures,mean_encryption_ms,mean_decryption_ms,mean_e2e_latency_ms,p95_e2e_latency_ms,throughput_mbps,mean_process_cpu_pct,mean_rss_mb,estimated_energy_j
final,fixed_aes256__high__d5__p4096,17,71,20260905,final_fixed_aes256__high__d5__p4096_rep17_ord71_r1776_fixed_high_d5_p4096_cpu20_mem30_1788653831,1776,fixed,AES-256-GCM,"{""AES-256-GCM"": 100}",high,80.0,20.0,30.0,0.8231149986386299,0.8247139994637109,5,20,4096,100,100,0.0,0,0.6860362600000001,0.17109707,13.26130111,23.283952,17.42435917575535,10.99183471598795,33.0546875,0.5499999999999999
final,fixed_aes256__high__d10__p4096,17,72,20260905,final_fixed_aes256__high__d10__p4096_rep17_ord72_r1779_fixed_high_d10_p4096_cpu20_mem30_1788653844,1779,fixed,AES-256-GCM,"{""AES-256-GCM"": 200}",high,80.0,20.0,30.0,15.92285300284857,15.92410299781477,10,20,4096,200,200,0.0,0,1.117049545,0.11804176,14.860288195,25.253832,32.48637754187306,10.991976680637176,33.118359375,1.1
final,fixed_aes128__medium__d10__p256,17,73,20260905,final_fixed_aes128__medium__d10__p256_rep17_ord73_r1741_fixed_medium_d10_p256_cpu20_mem30_1788653858,1741,fixed,AES-128-GCM,"{""AES-128-GCM"": 200}",medium,50.0,20.0,30.0,16.028052996261977,16.063369999756105,10,20,256,200,200,0.0,0,0.94228993,0.091203355,13.716723265,40.956312,1.0661449830413086,5.247932303906504,33.049609375,1.049999999999999
final,fixed_aes256__medium__d10__p256,17,74,20260905,final_fixed_aes256__medium__d10__p256_rep17_ord74_r1768_fixed_medium_d10_p256_cpu20_mem30_1788653873,1768,fixed,AES-256-GCM,"{""AES-256-GCM"": 200}",medium,50.0,20.0,30.0,8.508279999659862,8.508984996296931,10,20,256,200,200,0.0,0,1.192279535,0.109056305,13.854060950000001,40.731536,1.0892003498455936,5.998048458340182,33.01953125,1.1999999999999995
final,fixed_aes256__low__d10__p4096,17,75,20260905,final_fixed_aes256__low__d10__p4096_rep17_ord75_r1761_fixed_low_d10_p4096_cpu20_mem30_1788653888,1761,fixed,AES-256-GCM,"{""AES-256-GCM"": 200}",low,20.0,20.0,30.0,9.811392999836244,9.812577998673078,10,20,4096,200,200,0.0,0,1.105466785,0.23506678,13.276580995,17.296611,3.4460348362885527,2.399605833489005,33.0390625,2.4
final,fixed_aes256__medium__d5__p1024,17,76,20260905,final_fixed_aes256__medium__d5__p1024_rep17_ord76_r1766_fixed_medium_d5_p1024_cpu20_mem30_1788653904,1766,fixed,AES-256-GCM,"{""AES-256-GCM"": 100}",medium,50.0,20.0,30.0,0.387672997021582,0.3881029988406226,5,20,1024,100,100,0.0,0,0.21537863000000002,0.05524934,7.517520050000001,10.708937,2.144980796929181,3.4987715674479944,33.01953125,0.3500000000000003
final,fixed_aes128__high__d10__p256,17,77,20260905,final_fixed_aes128__high__d10__p256_rep17_ord77_r1750_fixed_high_d10_p256_cpu20_mem30_1788653917,1750,fixed,AES-128-GCM,"{""AES-128-GCM"": 200}",high,80.0,20.0,30.0,8.988765002868604,8.990029004053213,10,20,256,200,200,0.0,0,0.8775541450000001,0.072314335,20.97343538,36.709473,1.8169455080930175,8.993626256136903,33.0609375,0.8999999999999997
final,fixed_aes256__high__d10__p1024,17,78,20260905,final_fixed_aes256__high__d10__p1024_rep17_ord78_r1778_fixed_high_d10_p1024_cpu20_mem30_1788653932,1778,fixed,AES-256-GCM,"{""AES-256-GCM"": 200}",high,80.0,20.0,30.0,9.303156002715696,9.304432998760603,10,20,1024,200,200,0.0,0,1.0140129199999999,0.17087485000000002,13.11741027,32.586335,8.230061731094956,10.493640825776122,33.099609375,1.05
final,fixed_aes128__high__d20__p4096,17,79,20260905,final_fixed_aes128__high__d20__p4096_rep17_ord79_r1755_fixed_high_d20_p4096_cpu20_mem30_1788653947,1755,fixed,AES-128-GCM,"{""AES-128-GCM"": 400}",high,80.0,20.0,30.0,27.70540500205243,27.706701002898626,20,20,4096,400,400,0.0,0,1.1769976125,0.1042912425,75.2687212025,86.479075,50.17924440167691,9.737000536394088,33.1115234375,1.9499999999999995
final,fixed_chacha20__medium__d20__p256,17,80,20260905,final_fixed_chacha20__medium__d20__p256_rep17_ord80_r1798_fixed_medium_d20_p256_cpu20_mem30_1788653963,1798,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 400}",medium,50.0,20.0,30.0,23.349328999756835,23.351169998932164,20,20,256,400,400,0.0,0,0.8192868525,0.0446088175,13.0730184775,42.784353,2.0763908292191173,4.373228701732111,33.1044921875,1.749999999999999
